"予算No","年度","拠点","予算","実績"
"BUD-21-001","2021","東京","1000000","900000"
"BUD-21-002","2021","大阪","900000","700000"
"BUD-21-003","2021","名古屋","700000","700000"
"BUD-21-004","2021","仙台","700000","700000"
"BUD-21-005","2021","福岡","700000","700000"
"BUD-21-006","2021","札幌","700000","600000"
"BUD-21-007","2021","広島","600000","900000"
"BUD-21-008","2021","神奈川","900000","500000"
"BUD-21-009","2021","沖縄","500000","400000"
"BUD-21-010","2021","新潟","400000","1000000"
"BUD-22-001","2022","東京","1000000","900000"
"BUD-22-002","2022","大阪","900000","700000"
"BUD-22-003","2022","名古屋","700000","700000"
"BUD-22-004","2022","仙台","700000","700000"
"BUD-22-005","2022","福岡","700000","700000"
"BUD-22-006","2022","札幌","700000","600000"
"BUD-22-007","2022","広島","600000","900000"
"BUD-22-008","2022","神奈川","900000","500000"
"BUD-22-009","2022","沖縄","500000","400000"
"BUD-22-010","2022","新潟","400000","1000000"
"BUD-23-001","2023","東京","1000000","900000"
"BUD-23-002","2023","大阪","900000","700000"
"BUD-23-003","2023","名古屋","700000","700000"
"BUD-23-004","2023","仙台","700000","700000"
"BUD-23-005","2023","福岡","700000","700000"
"BUD-23-006","2023","札幌","700000","600000"
"BUD-23-007","2023","広島","600000","900000"
"BUD-23-008","2023","神奈川","900000","500000"
"BUD-23-009","2023","沖縄","500000","400000"
"BUD-23-010","2023","新潟","400000","500000"
